order_id,city,distance_km,weight_tons
ORD001,Lagos,625.4,18.3
ORD002,Kano,888.4,17.3
ORD003,Port Harcourt,166.4,26.6
ORD004,Ibadan,277.8,15.8
ORD005,Enugu,510.3,25.3
ORD006,Port Harcourt,583.7,30.1
ORD007,Lagos,928.1,33.8
ORD008,Aba,180.3,28.8
ORD009,Port Harcourt,761.8,11.5
ORD010,Enugu,110.5,24.9
ORD011,Port Harcourt,872.7,19.9
ORD012,Aba,767.6,24.3
ORD013,Onitsha,504.9,8.9
ORD014,Ibadan,575.5,33.7
ORD015,Aba,567.9,32.8
ORD016,Enugu,584.3,19.4
ORD017,Ibadan,861.5,31.9
ORD018,Lagos,232.7,32.3
ORD019,Port Harcourt,698.0,34.8
ORD020,Enugu,637.5,8.3
ORD021,Kano,150.7,19.8
ORD022,Ibadan,167.9,30.8
ORD023,Port Harcourt,454.5,23.7
ORD024,Aba,32.2,27.5
ORD025,Kano,203.8,27.3
ORD026,Lagos,377.5,25.8
ORD027,Aba,143.3,14.6
ORD028,Enugu,663.4,19.2
ORD029,Aba,429.0,30.4
ORD030,Abuja,941.8,9.5
ORD031,Abuja,577.0,16.8
ORD032,Onitsha,267.7,7.8
ORD033,Onitsha,616.6,25.9
ORD034,Lagos,314.0,12.9
ORD035,Lagos,590.1,20.5
ORD036,Kano,73.6,33.0
ORD037,Abuja,611.8,14.5
ORD038,Onitsha,621.8,23.7
ORD039,Ibadan,439.4,11.7
ORD040,Port Harcourt,944.5,28.2
ORD041,Lagos,945.8,20.6
ORD042,Kano,66.5,24.7
ORD043,Kano,914.0,27.2
ORD044,Enugu,198.9,23.8
ORD045,Aba,407.3,33.8
ORD046,Kano,336.7,28.3
ORD047,Kano,456.4,18.4
ORD048,Enugu,385.4,10.3
ORD049,Ibadan,702.9,31.9
ORD050,Lagos,801.5,23.2
ORD051,Aba,251.6,32.6
ORD052,Onitsha,130.1,33.9
ORD053,Aba,159.7,7.2
ORD054,Kano,294.9,14.2
ORD055,Port Harcourt,368.1,17.1
ORD056,Lagos,530.6,15.7
ORD057,Kano,272.9,38.0
ORD058,Port Harcourt,494.7,37.2
ORD059,Abuja,550.1,24.8
ORD060,Kano,206.0,37.6
